t Fq h
10.570270 0.589481 0.050000 
10.585185 0.589041 0.050000 
10.600100 0.588602 0.050000 
10.615015 0.588163 0.050000 
10.629930 0.587725 0.050000 
10.644845 0.587287 0.050000 
10.659760 0.586849 0.050000 
10.674675 0.586411 0.050000 
10.689590 0.585974 0.050000 
10.704505 0.585537 0.050000 
10.719419 0.585101 0.050000 
10.734334 0.584665 0.050000 
10.749249 0.584229 0.050000 
10.764164 0.583793 0.050000 
10.779079 0.583358 0.050000 
10.793994 0.582923 0.050000 
10.808909 0.582489 0.050000 
10.823824 0.582055 0.050000 
10.838739 0.581621 0.050000 
10.853654 0.581187 0.050000 
10.868569 0.580754 0.050000 
10.883483 0.580321 0.050000 
10.898398 0.579888 0.050000 
10.913313 0.579456 0.050000 
10.928228 0.579024 0.050000 
10.943143 0.578592 0.050000 
10.958058 0.578161 0.050000 
10.972973 0.577730 0.050000 
10.987888 0.577299 0.050000 
11.002803 0.576869 0.050000 
11.017718 0.576439 0.050000 
11.032633 0.576009 0.050000 
11.047548 0.575580 0.050000 
11.062462 0.575151 0.050000 
11.077377 0.574722 0.050000 
11.092292 0.574294 0.050000 
11.107207 0.573865 0.050000 
11.122122 0.573438 0.050000 
11.137037 0.573010 0.050000 
11.151952 0.572583 0.050000 
11.166867 0.572156 0.050000 
11.181782 0.571730 0.050000 
11.196697 0.571303 0.050000 
11.211612 0.570878 0.050000 
11.226527 0.570452 0.050000 
11.241441 0.570027 0.050000 
11.256356 0.569602 0.050000 
11.271271 0.569177 0.050000 
11.286186 0.568753 0.050000 
11.301101 0.568329 0.050000 
11.316016 0.567905 0.050000 
11.330931 0.567482 0.050000 
11.345846 0.567059 0.050000 
11.360761 0.566636 0.050000 
11.375676 0.566214 0.050000 
11.390591 0.565792 0.050000 
11.405506 0.565370 0.050000 
11.420420 0.564948 0.050000 
11.435335 0.564527 0.050000 
11.450250 0.564106 0.050000 
11.465165 0.563686 0.050000 
11.480080 0.563266 0.050000 
11.494995 0.562846 0.050000 
11.509910 0.562426 0.050000 
11.524825 0.562007 0.050000 
11.539740 0.561588 0.050000 
11.554655 0.561169 0.050000 
11.569570 0.560751 0.050000 
11.584484 0.560333 0.050000 
11.599399 0.559915 0.050000 
11.614314 0.559498 0.050000 
11.629229 0.559081 0.050000 
11.644144 0.558664 0.050000 
11.659059 0.558247 0.050000 
11.673974 0.557831 0.050000 
11.688889 0.557415 0.050000 
11.703804 0.557000 0.050000 
11.718719 0.556585 0.050000 
11.733634 0.556170 0.050000 
11.748549 0.555755 0.050000 
11.763463 0.555341 0.050000 
11.778378 0.554927 0.050000 
11.793293 0.554513 0.050000 
11.808208 0.554100 0.050000 
11.823123 0.553687 0.050000 
11.838038 0.553274 0.050000 
11.852953 0.552862 0.050000 
11.867868 0.552449 0.050000 
11.882783 0.552038 0.050000 
11.897698 0.551626 0.050000 
11.912613 0.551215 0.050000 
11.927528 0.550804 0.050000 
11.942442 0.550393 0.050000 
11.957357 0.549983 0.050000 
11.972272 0.549573 0.050000 
11.987187 0.549163 0.050000 
12.002102 0.548754 0.050000 
12.017017 0.548345 0.050000 
12.031932 0.547936 0.050000 
12.046847 0.547528 0.050000 
12.061762 0.547119 0.050000 
12.076677 0.546712 0.050000 
12.091592 0.546304 0.050000 
12.106507 0.545897 0.050000 
12.121421 0.545490 0.050000 
12.136336 0.545083 0.050000 
12.151251 0.544677 0.050000 
12.166166 0.544271 0.050000 
12.181081 0.543865 0.050000 
12.195996 0.543460 0.050000 
12.210911 0.543055 0.050000 
12.225826 0.542650 0.050000 
12.240741 0.542245 0.050000 
12.255656 0.541841 0.050000 
12.270571 0.541437 0.050000 
12.285485 0.541033 0.050000 
12.300400 0.540630 0.050000 
12.315315 0.540227 0.050000 
12.330230 0.539824 0.050000 
12.345145 0.539422 0.050000 
12.360060 0.539020 0.050000 
12.374975 0.538618 0.050000 
12.389890 0.538216 0.050000 
12.404805 0.537815 0.050000 
12.419720 0.537414 0.050000 
12.434635 0.537014 0.050000 
12.449550 0.536613 0.050000 
12.464464 0.536213 0.050000 
12.479379 0.535814 0.050000 
12.494294 0.535414 0.050000 
12.509209 0.535015 0.050000 
12.524124 0.534616 0.050000 
12.539039 0.534218 0.050000 
12.553954 0.533819 0.050000 
12.568869 0.533421 0.050000 
12.583784 0.533024 0.050000 
12.598699 0.532626 0.050000 
12.613614 0.532229 0.050000 
12.628529 0.531833 0.050000 
12.643443 0.531436 0.050000 
12.658358 0.531040 0.050000 
12.673273 0.530644 0.050000 
12.688188 0.530249 0.050000 
12.703103 0.529853 0.050000 
12.718018 0.529458 0.050000 
12.732933 0.529064 0.050000 
12.747848 0.528669 0.050000 
12.762763 0.528275 0.050000 
12.777678 0.527881 0.050000 
12.792593 0.527488 0.050000 
12.807508 0.527095 0.050000 
12.822422 0.526702 0.050000 
12.837337 0.526309 0.050000 
12.852252 0.525917 0.050000 
12.867167 0.525525 0.050000 
12.882082 0.525133 0.050000 
12.896997 0.524741 0.050000 
12.911912 0.524350 0.050000 
12.926827 0.523959 0.050000 
12.941742 0.523569 0.050000 
12.956657 0.523178 0.050000 
12.971572 0.522788 0.050000 
12.986486 0.522399 0.050000 
13.001401 0.522009 0.050000 
13.016316 0.521620 0.050000 
13.031231 0.521231 0.050000 
13.046146 0.520843 0.050000 
13.061061 0.520454 0.050000 
13.075976 0.520066 0.050000 
13.090891 0.519679 0.050000 
